frequency,timestamp
52.25,2024-10-03 20:34:18.394
49.77,2024-10-03 20:34:19.408
49.14,2024-10-03 20:34:20.411
52.42,2024-10-03 20:34:21.421
50.97,2024-10-03 20:34:22.435
49.53,2024-10-03 20:34:23.452
52.1,2024-10-03 20:34:24.464
51.51,2024-10-03 20:34:25.479
52.02,2024-10-03 20:34:26.489
52.19,2024-10-03 20:34:27.504
49.56,2024-10-03 20:34:28.518
49.19,2024-10-03 20:34:29.533
49.32,2024-10-03 20:34:30.546
52.01,2024-10-03 20:34:31.562
52.19,2024-10-03 20:34:32.577
50.06,2024-10-03 20:34:33.578
51.23,2024-10-03 20:34:34.592
50.78,2024-10-03 20:34:35.594
52.34,2024-10-03 20:34:36.608
49.26,2024-10-03 20:34:37.621
49.36,2024-10-03 20:34:38.637
52.22,2024-10-03 20:34:39.652
51.88,2024-10-03 20:34:40.666
50.66,2024-10-03 20:34:41.682
51.14,2024-10-03 20:34:42.695
50.49,2024-10-03 20:34:43.709
51.88,2024-10-03 20:34:44.714
49.17,2024-10-03 20:34:45.729
49.23,2024-10-03 20:34:46.744
52.97,2024-10-03 20:34:47.748
51.87,2024-10-03 20:34:48.753
50.61,2024-10-03 20:34:49.767
50.81,2024-10-03 20:34:50.782
49.76,2024-10-03 20:34:51.796
52.8,2024-10-03 20:34:52.811
52.87,2024-10-03 20:34:53.827
50.48,2024-10-03 20:34:54.840
51.86,2024-10-03 20:34:55.856
52.29,2024-10-03 20:34:56.872
51.83,2024-10-03 20:34:57.884
51.63,2024-10-03 20:34:58.893
49.37,2024-10-03 20:34:59.907
52.16,2024-10-03 20:35:00.912
49.19,2024-10-03 20:35:01.927
51.34,2024-10-03 20:35:02.938
49.32,2024-10-03 20:35:03.945
50.76,2024-10-03 20:35:04.956
52.57,2024-10-03 20:35:05.970
50.1,2024-10-03 20:35:06.987
50.49,2024-10-03 20:35:07.996
51.1,2024-10-03 20:35:09.006
50.43,2024-10-03 20:35:10.015
51.21,2024-10-03 20:35:11.055
50.9,2024-10-03 20:35:12.024
49.81,2024-10-03 20:35:13.028
52.84,2024-10-03 20:35:14.040
51.68,2024-10-03 20:35:17.880
52.22,2024-10-03 20:35:17.887
49.32,2024-10-03 20:35:17.894
49.53,2024-10-03 20:35:18.056
52.49,2024-10-03 20:35:19.060
52.49,2024-10-03 20:35:20.074
50.83,2024-10-03 20:35:21.087
50.4,2024-10-03 20:35:22.093
52.88,2024-10-03 20:35:23.106
52.19,2024-10-03 20:35:26.502
51.06,2024-10-03 20:35:26.512
50.41,2024-10-03 20:35:26.518
52.52,2024-10-03 20:35:27.147
51.13,2024-10-03 20:35:28.150
49.8,2024-10-03 20:35:29.164
51.91,2024-10-03 20:35:30.177
52.63,2024-10-03 20:35:31.180
52.48,2024-10-03 20:35:32.196
